	depth	richness_raw	richness_rare	shannon	pielou	Trip	Site	Type	Season
e0325_10Dr2	503679.0	2457	2134.779773951885	6.659232384545959	0.8686576068496381	1	10	Deep	Spring
e0326_10PRr2	234734.0	1379	1275.547623946905	5.869525257032846	0.8207828048678888	1	10	Rhizosphere	Spring
e0327_10Sr2	1634081.0	3897	2779.3416705286345	6.830716177023331	0.8613798942671642	1	10	Surface	Spring
e0328_10Sr3	1049003.0	2914	2077.87411032866	6.08513843724931	0.7965778650766806	1	10	Surface	Spring
e0329_11Dr3	152441.0	1374	1279.1392631198485	5.8401169579794034	0.816349420059259	1	11	Deep	Spring
e0330_11PRr3	847369.0	3095	2124.3958450325345	5.945018617411077	0.775986197647082	1	11	Rhizosphere	Spring
e0331_11Sr2	125604.0	934	917.4636125265656	5.678883274313884	0.8324839508051107	1	11	Surface	Spring
e0332_12PRr1	43484.0	621	620.377343761826	5.547416481201971	0.862695737639793	1	12	Rhizosphere	Spring
e0333_12PRr3	311186.0	2294	2112.252120538451	6.718154738775079	0.8775580891939333	1	12	Rhizosphere	Spring
e0334_12Sr1	182291.0	1489	1436.821941614741	6.387099055042482	0.8785327427703262	1	12	Surface	Spring
e0335_12Sr3	145306.0	1360	1262.1020444557212	5.794676556481529	0.8115186676970265	1	12	Surface	Spring
e0336_13Dr1	473455.0	2649	2366.9757254423725	6.9528277174114095	0.8949025712993284	1	13	Deep	Spring
e0337_13Dr3	1852185.0	3299	1966.677392760729	5.7881417071952495	0.7631941957959509	1	13	Deep	Spring
e0338_13Sr2	357173.0	1528	1328.196790252568	5.654056548523213	0.7862053276897617	1	13	Surface	Spring
e0339_14Dr1	655184.0	2306	1987.5007605952608	6.552933648927883	0.8628374078313126	1	14	Deep	Spring
e0340_14Dr3	1195294.0	3604	2168.500291580273	6.015836096236641	0.7831293535187058	1	14	Deep	Spring
e0341_14PRr1	529395.0	848	668.2556218845501	4.816850821481138	0.7405218485928232	1	14	Rhizosphere	Spring
e0342_14PRr2	458988.0	642	526.6421528335733	4.642775957539605	0.7408856911082443	1	14	Rhizosphere	Spring
e0343_14Sr2	1079644.0	2826	1832.7602210913344	5.893253635686056	0.7843471247343423	1	14	Surface	Spring
e0344_15Dr1	943660.0	4437	3198.457672308822	7.228124542544702	0.8956313257949546	1	15	Deep	Spring
e0345_15Dr3	1181250.0	4279	3050.563041885134	6.994425090186135	0.8717878695539725	1	15	Deep	Spring
e0346_15PRr1	532453.0	1663	1319.2673021227092	5.823197510047107	0.8104848773667658	1	15	Rhizosphere	Spring
e0347_15PRr2	909284.0	1999	1396.2277914279136	5.897749197947201	0.8144341942183684	1	15	Rhizosphere	Spring
e0348_15PRr3	594206.0	1989	1533.9055809679471	6.018732395974543	0.8204857158857125	1	15	Rhizosphere	Spring
e0349_15Sr1	900509.0	2282	1934.985042294426	6.42089305484757	0.8484429419700726	1	15	Surface	Spring
e0350_15Sr3	71452.0	959	949.6123421540796	5.844197926721537	0.8524142404283636	1	15	Surface	Spring
e0351_16Dr1	416803.0	2073	1848.6849356651137	6.438471986347724	0.8559259874608959	1	16	Deep	Spring
e0352_16Dr3	120288.0	1203	1176.1221598471168	6.14863422516888	0.8696822288198549	1	16	Deep	Spring
e0353_16PRr2	869078.0	2607	1724.598049365503	5.606218613444918	0.7522349668844268	1	16	Rhizosphere	Spring
e0354_16PRr3	822232.0	2000	1333.2909314791723	5.128827924199012	0.7127920572216517	1	16	Rhizosphere	Spring
e0355_16Sr1	214146.0	861	804.7028303664246	4.805189136725123	0.7182136595761904	1	16	Surface	Spring
e0356_17Dr1	133041.0	1799	1741.191279759367	6.679286079105272	0.8950677244408248	1	17	Deep	Spring
e0357_17Dr3	145553.0	1943	1840.0729286697904	6.685333792841877	0.8892956440075399	1	17	Deep	Spring
e0358_17PRr2	218408.0	753	678.0353070664469	4.991549885889936	0.7656691579427755	1	17	Rhizosphere	Spring
